transport_do_sklepow_tyg [*,Piaseczno,Buraki,*] (tr)
:  ArabicGroceryShop DobryWarzywniak Krzesak UKermita    :=
32        0.922        0.292   0.000   1.078      1.501        0.000
33        1.110        0.000   0.000   4.079      0.000        1.625
34        1.093        1.058   1.000   0.000      0.850        1.756
35        2.703        0.000   1.235   0.000      0.895        0.000
36        0.000        0.609   0.000   2.810      0.990        0.000
37        1.716        0.658   0.000   0.000      0.724        1.939
38        0.000        0.948   0.000   3.997      1.904        0.000
39        0.000        1.357   0.000   0.000      0.000        1.891
40        0.938        0.000   1.639   0.000      0.962        0.000
41        0.601        0.894   0.725   4.386      1.078        0.951
42        1.139        1.148   0.000   1.261      1.067        1.713
43        2.225        0.000   0.842   0.000      1.966        0.000
44        0.000        0.791   0.000   0.000      0.000        0.898
45        0.439        0.644   0.000   3.788      1.041        1.740
46        1.021        0.775   0.000   0.000      1.070        0.000
47        1.026        1.162   0.000   0.000      0.956        0.857
48        0.619        0.433   0.000   2.336      1.664        2.484
49        1.587        1.779   0.000   0.000      0.000        0.000
50        0.000        0.000   0.000   1.227      1.596        0.000
51        0.870        0.000   1.061   2.476      0.000        1.830
52        0.892        0.467   0.000   0.000      0.846        0.000

 [*,Zielonka,Marchew,*] (tr)
:  Stoisko UKarolci UPanaWojtka VegitoWarzywa    :=
1    1.215   1.803      2.306        1.344
2    1.288   4.178      0.000        1.034
3    0.528   3.603      1.956        1.091
4    2.740   0.000      0.000        0.987
5    0.000   0.000      2.573        3.226
6    0.117   0.000      0.000        0.000
7    0.961   1.255      1.769        0.000
8    0.620   7.212      0.000        0.620
9    0.832   0.000      1.822        1.970
10   0.865   0.000      0.000        0.000
11   2.467   0.000      2.662        1.026
12   0.000   0.000      0.000        3.264
13   0.000   0.000      0.302        0.000
14   1.026   3.609      1.761        0.000
15   0.365   0.000      0.000        0.715
16   2.285   0.000      4.425        1.337
17   0.000   2.914      0.000        0.989
18   0.000   0.000      0.250        5.749
19   1.639   2.899      0.000        0.000
20   0.000   0.127      0.539        0.000
21   0.902   1.265      2.052        0.000
22   1.842   3.244      0.000        0.000
23   0.000   0.000      2.398        0.411
24   2.382   1.361      0.000        4.359
25   0.000   1.305      2.445        0.000
26   0.000   1.813      0.000        0.000
27   2.279   1.604      0.969        0.000
28   0.000   2.148      3.070        3.809
29   2.125   1.877      0.000        0.000
30   0.000   1.469      0.427        2.915
31   1.178   2.292      1.387        0.000
32   1.097   1.670      1.184        0.000
33   3.806   2.066      0.977        1.561
34   0.000   1.903      1.297        3.386
35   0.000   5.978      2.637        0.000
36   0.745   0.000      0.000        0.000
37   0.768   0.000      1.089        3.914
38   0.000   3.717      2.282        0.000
39   1.860   0.000      0.401        0.000
40   0.000   2.015      1.397        4.342
41   1.993   1.888      2.511        0.000
42   0.000   3.502      0.263        1.340
43   2.277   2.730      2.034        0.000
44   0.021   0.000      0.674        2.824
45   1.151   1.613      1.393        0.000
46   1.086   1.883      2.934        1.056
47   2.815   3.802      0.539        1.330
48   0.000   0.000      0.687        1.012
49   0.518   1.732      0.929        3.136
50   1.822   3.831      1.249        0.000
51   0.408   1.563      2.286        0.580
52   0.000   0.000      0.000        1.465

 [*,Zielonka,Ziemniaki,*] (tr)
:  ArabicGroceryShop Stoisko UAktora UKarolci UPanaWojtka VegitoWarzywa    :=
1         5.108        1.690   0.000   2.564      1.617        1.864
2         0.000        1.069   0.000   1.873      1.704        2.956
3         0.210        1.463   0.000   1.968      1.584        0.000
4         1.081        1.439   0.000   2.543      1.214        2.628
5         2.726        3.094   0.000   5.561      1.316        0.000
6         0.000        0.551   0.000   0.834      1.690        4.559
7         1.340        0.000   0.000   0.000      3.101        2.329
8         3.958        2.874   0.000   3.465      0.000        0.000
9         0.000        0.484   0.000   0.000      2.225        0.000
10        0.583        0.000   0.000   3.295      1.904        0.000
11        2.843        1.651   0.000   1.658      0.000        4.414
12        0.000        0.785   0.000   0.000      1.290        0.000
13        3.298        4.480   0.000   5.111      3.595        0.000
14        0.000        0.000   0.000   0.000      0.000        1.517
15        0.000        0.000   0.000   0.135      0.113        1.232
16        3.715        0.739   0.000   9.379      1.447        4.930
17        1.903        0.000   0.000   0.000      1.514        0.000
18        0.000        3.875   0.000   0.650      1.679        0.000
19        0.000        0.000   0.000   0.000      3.563        0.981
20        1.373        0.000   0.000   0.000      1.853        1.575
21        3.397        0.891   0.000   3.823      0.000        1.920
22        0.000        1.000   0.000   0.000      2.062        0.728
23        0.412        1.228   0.000   2.124      0.000        3.070
24        1.902        1.319   0.000   7.410      3.339        0.000
25        4.513        2.032   0.000   0.000      1.262        1.893
26        0.000        0.520   0.000   0.000      0.161        2.859
27        0.026        1.460   0.000   5.844      1.426        0.000
28        1.925        3.314   3.893   0.000      1.473        3.568
29        3.320        0.560   0.000   6.548      1.538        0.000
30        0.000        3.968   0.000   0.000      3.944        1.435
31        4.158        0.000   0.000   0.071      0.135        2.039
32        1.877        0.686   0.000   6.309      3.504        2.577
33        0.000        0.875   0.000   0.000      0.382        3.464
34        3.777        0.811   0.000   1.645      0.927        0.000
35        0.000        1.373   0.000   3.765      2.731        4.065
36        1.653        2.661   0.850   2.101      0.998        1.445
37        1.754        0.000   0.000   2.593      1.568        0.000
38        2.290        3.034   0.000   3.678      2.118        4.473
39        4.158        0.147   0.000   5.100      4.086        0.000
40        0.000        1.323   0.000   0.000      0.000        1.446
41        1.769        1.720   0.000   2.162      1.969        3.865
42        1.369        3.528   0.000   3.186      3.733        0.000
43        2.194        0.000   0.000   2.663      0.640        3.759
44        1.493        0.717   0.000   3.156      1.792        0.000
45        1.754        2.506   0.000   3.491      3.810        2.088
46        3.979        0.464   3.812   4.633      0.528        6.378
47        0.162        1.508   0.000   0.000      1.918        0.000
48        2.655        1.784   0.000   7.361      3.170        0.000
49        0.000        1.496   0.000   0.000      2.111        0.341
50        3.101        3.158   0.960   0.065      0.000        5.511
51        0.415        0.000   0.000   3.346      1.407        0.000
52        1.819        0.000   0.000   1.756      1.726        0.000
;

